date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:54:34	736761/736761	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2016:56:46%20GMT	https://risingtheme.com/html/demo-furea/furea/index.html	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/index.html	(from )
23:54:35	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Sep%202024%2016:54:36%20GMT	https://risingtheme.com/robots.txt		(from )
23:54:35	766/766	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2006%20Oct%202020%2003:49:32%20GMT	https://risingtheme.com/html/demo-furea/furea/assets/img/favicon.ico	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/assets/img/favicon.ico	(from https://risingtheme.com/html/demo-furea/furea/index.html)
23:54:36	15576/15576	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2019:20:56%20GMT	https://risingtheme.com/html/demo-furea/furea/assets/css/plugins/swiper-bundle.min.css	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/assets/css/plugins/swiper-bundle.min.css	(from https://risingtheme.com/html/demo-furea/furea/index.html)
23:54:36	13785/13785	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2019:15:10%20GMT	https://risingtheme.com/html/demo-furea/furea/assets/css/plugins/glightbox.min.css	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/assets/css/plugins/glightbox.min.css	(from https://risingtheme.com/html/demo-furea/furea/index.html)
23:54:36	181943/181943	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20Mar%202022%2017:02:18%20GMT	https://risingtheme.com/html/demo-furea/furea/assets/css/style.css	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/assets/css/style.css	(from https://risingtheme.com/html/demo-furea/furea/index.html)
23:54:36	304/304	---M--	200	added ('OK')	image/webp	date:Fri,%2014%20Jan%202022%2001:15:44%20GMT	https://risingtheme.com/html/demo-furea/furea/assets/img/icon/usd-icon.webp	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/assets/img/icon/usd-icon.webp	(from https://risingtheme.com/html/demo-furea/furea/index.html)
23:54:36	462/462	---M--	200	added ('OK')	image/webp	date:Fri,%2014%20Jan%202022%2001:13:50%20GMT	https://risingtheme.com/html/demo-furea/furea/assets/img/icon/language-icon.webp	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/assets/img/icon/language-icon.webp	(from https://risingtheme.com/html/demo-furea/furea/index.html)
23:54:37	988/988	---M--	200	added ('OK')	image/webp	date:Fri,%2014%20Jan%202022%2001:08:26%20GMT	https://risingtheme.com/html/demo-furea/furea/assets/img/logo/nav-log.webp	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/assets/img/logo/nav-log.webp	(from https://risingtheme.com/html/demo-furea/furea/index.html)
23:54:37	982109/982109	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2016:48:26%20GMT	https://risingtheme.com/html/demo-furea/furea/index-2.html	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/index-2.html	(from https://risingtheme.com/html/demo-furea/furea/index.html)
23:54:37	331676/331676	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2016:50:22%20GMT	https://risingtheme.com/html/demo-furea/furea/index-3.html	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/index-3.html	(from https://risingtheme.com/html/demo-furea/furea/index.html)
23:54:37	405133/405133	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2002:56:00%20GMT	https://risingtheme.com/html/demo-furea/furea/shop.html	D:/theme/noithat2/risingtheme.com/html/demo-furea/furea/shop.html	(from https://risingtheme.com/html/demo-furea/furea/index.html)
